#,Keyword,Country,Difficulty,Volume,CPC,Clicks,CPS,Return Rate,Parent Keyword,Last Update,SERP Features,Global volume,Organic Clicks Only,Paid Clicks Only,Paid & Organic Clicks,Searches Without Clicks
45,converting a loft,gb,31,100,2.5,102,0.85,1.27,loft conversion,2021-10-08 05:33:52,"Adwords top,People also ask,Top stories,Videos,Sitelinks,Image pack,Adwords bottom,Shopping results,Thumbnails",150,42%,0%,14%,44%
46,slating a roof,gb,0,100,0.3,84,0.76,1.48,how to slate a roof,2021-10-17 09:29:50,"Top stories,Videos,People also ask,Image pack,Sitelinks,Knowledge panel",150,55%,1%,2%,42%
47,building a flat roof,gb,12,100,5,91,0.86,1.53,flat roof construction,2021-10-03 03:50:09,"Top stories,Videos,People also ask,Image pack,Sitelinks",350,57%,0%,3%,40%
48,tiling a swimming pool,gb,3,100,0.5,,,,swimming pool tiles adhesive,2021-10-11 22:01:24,"Top stories,Videos,People also ask,Sitelinks,Image pack",150,,,,
49,felting a flat roof,gb,1,100,3.5,108,0.92,1.18,how to felt edges and corners of a flat roof,2021-10-16 21:03:12,"Top stories,Videos,People also ask,Sitelinks,Image pack",200,62%,0%,2%,36%
50,waterproofing a shed,gb,0,90,0.5,114,1.3,1.19,waterproof shed,2021-09-28 11:19:56,"Featured snippet,People also ask,Sitelinks,Top stories,Videos,Image pack",350,44%,7%,14%,35%
51,felting a roof,gb,2,90,0.7,88,0.95,1.24,roofing felt overlap,2021-10-04 22:46:46,"Shopping results,Thumbnails,Top stories,Videos,People also ask,Sitelinks,Image pack",150,51%,2%,7%,40%
52,tiling a shower,gb,5,80,0.8,84,1,1.27,how to tile a shower,2021-10-15 11:39:35,"Top stories,Videos,People also ask,Image pack,Sitelinks",3300,51%,4%,3%,42%
53,cleaning a bathroom,gb,34,80,1.5,93,1.16,1.09,how to clean a bathroom,2021-10-11 19:20:07,"People also ask,Top stories,Videos,Sitelinks,Image pack",200,,,,
54,insulating a conservatory,gb,0,80,4.5,79,0.93,1.43,conservatory roof insulation,2021-09-30 03:10:07,"Top stories,Videos,People also ask,Sitelinks,Image pack,Knowledge panel",80,,,,
55,installing a wet room,gb,2,80,2.5,68,0.87,1.44,wet room installation,2021-10-02 10:49:24,"Top stories,Videos,People also ask,Image pack",100,57%,2%,4%,37%
56,building a water feature,gb,28,70,0.6,,,,how to make a water feature,2021-09-27 21:46:21,"Top stories,Videos,People also ask,Sitelinks,Image pack",350,,,,
57,fixing a flat roof,gb,7,70,1.4,,,,flat roofs repair,2021-10-01 19:09:56,"Shopping results,Thumbnails,Adwords top,Top stories,Videos,People also ask,Sitelinks,Image pack,Adwords bottom",150,,,,
58,installing a velux window,gb,3,70,2.5,43,0.64,1.14,fitting a velux window,2021-10-12 22:51:43,"Top stories,Videos,People also ask,Sitelinks,Image pack",80,,,,
59,insulating a wall,gb,9,60,1.2,40,0.7,1.36,wall insulation,2021-10-11 20:11:21,"People also ask,Top stories,Videos,Sitelinks,Image pack",100,,,,
60,insulating a campervan,gb,5,60,0.3,98,1.54,1.22,van insulation,2021-10-06 13:43:14,"Top stories,Videos,People also ask,Sitelinks,Image pack",80,,,,
61,painting a conservatory,gb,0,60,,,,,conservatory paint,2021-10-12 07:07:18,"People also ask,Sitelinks,Top stories,Videos,Image pack",100,,,,
62,repairing a flat roof,gb,7,60,3.5,58,1,1.16,flat roofing repairs,2021-10-18 21:30:49,"Top stories,Videos,People also ask,Image pack",80,,,,
63,cleaning a toilet,gb,37,60,0.8,55,0.89,1.18,how to clean a toilet,2021-09-27 18:59:29,"Featured snippet,Thumbnails,People also ask,Top stories,Videos",200,65%,2%,2%,31%
64,building a wet room,gb,3,60,2,,,,wet room installation,2021-10-20 01:04:26,"Top stories,Videos,People also ask,Sitelinks",100,,,,
65,building a campervan,gb,20,60,0.8,71,1.16,1.24,campervan build,2021-10-16 23:32:49,"Top stories,Videos,People also ask,Sitelinks,Image pack",200,,,,
66,sealing a flat roof,gb,,50,1.5,,,,,,,200,,,,
67,painting a bathroom,gb,,50,0.6,32,0.69,1.24,,,,450,50%,7%,0%,43%
68,sealing a patio,gb,1,50,,59,1.27,1.46,patio sealer,2021-09-27 03:35:25,"Shopping results,Thumbnails,People also ask,Top stories,Videos,Image pack,Sitelinks",150,46%,12%,10%,32%
69,building a decking,gb,16,50,0.7,,,,how to lay decking,2021-10-13 05:06:39,"Shopping results,Thumbnails,Top stories,Videos,People also ask,Sitelinks,Image pack",90,,,,
70,insulating a pitched roof,gb,1,50,1.1,,,,pitched roof insulation,2021-10-06 11:20:04,"Top stories,Videos,People also ask,Sitelinks,Image pack",150,,,,
71,waterproofing a flat roof,gb,2,50,0.6,,,,roof waterproofing,2021-10-08 12:22:21,"Featured snippet,People also ask,Top stories,Videos,Image pack",200,,,,
72,building a bathroom,gb,18,50,1.4,,,,bathroom renovation,2021-09-29 05:01:15,"Top stories,Videos,Thumbnails,People also ask,Sitelinks,Image pack",350,,,,
73,building a extension,gb,30,50,1.9,,,,building an extension,2021-10-06 09:45:35,"Top stories,Videos,People also ask,Sitelinks,Image pack",60,,,,
74,building a pool,gb,35,50,2.5,,,,inground pool,2021-10-18 18:29:06,"People also ask,Image pack",1500,,,,
75,building a shower,gb,8,50,1.8,,,,building a shower enclosure,2021-10-21 02:46:32,"Top stories,Videos,People also ask,Sitelinks,Image pack",800,,,,
76,waterproofing a shower,gb,5,40,1.6,,,,shower waterproofing,2021-10-15 03:31:37,"Top stories,Videos,People also ask,Sitelinks,Image pack",400,,,,
77,converting a campervan,gb,,40,,,,,,,,70,,,,
78,building a loft conversion,gb,23,40,2,,,,loft extension,2021-09-29 22:14:30,"People also ask,Top stories,Videos,Image pack",50,,,,
79,installing a window,gb,,40,8,,,,,,,450,,,,
80,insulating a floor,gb,12,40,1,,,,floor insulation,2021-10-18 09:07:05,"People also ask,Top stories,Videos,Sitelinks",90,,,,
81,insulating a loft conversion,gb,0,40,3.5,,,,loft conversion insulation,2021-10-22 05:04:41,"Top stories,Videos,People also ask,Image pack,Sitelinks",40,,,,
82,painting a floor,gb,26,40,1,,,,floor painting,2021-10-21 08:03:24,"Top stories,Videos,People also ask,Sitelinks,Image pack",200,,,,
83,fixing a toilet,gb,36,40,2,,,,fix a toilet,2021-10-13 04:30:20,"Top stories,Videos,People also ask,Image pack,Sitelinks",200,,,,
84,installing a pond,gb,,30,,,,,,,,150,,,,
85,tiling a window,gb,,30,0,,,,,,,30,,,,
86,painting a summer house,gb,1,30,0.7,,,,summer house paint,2021-10-15 15:39:32,"Shopping results,Thumbnails,Top stories,Videos,People also ask,Sitelinks,Image pack",60,,,,
87,sealing a driveway,gb,,30,0.8,,,,,,,400,,,,
88,sealing a bathroom,gb,,30,2,,,,,,,1000,,,,
89,building a toilet,gb,,30,,,,,,,,70,,,,
90,installing a porch,gb,,30,,,,,,,,70,,,,
91,insulating a ceiling,gb,3,30,1.3,,,,ceiling insulation,2021-10-18 19:17:06,"Top stories,Videos,People also ask,Sitelinks,Image pack",100,,,,
92,installing a swimming pool,gb,,30,2,,,,,,,100,,,,
93,installing a toilet,gb,8,30,1.1,28,0.91,1.31,toilet installation,2021-10-06 01:44:21,"Top stories,Videos,People also ask,Image pack,Sitelinks",600,57%,2%,2%,39%
94,unblocking a shower,gb,,20,,,,,,,,20,,,,
95,installing a door,gb,3,20,,,,,,,,200,,,,
96,converting a shed,gb,,20,,,,,,,,30,,,,
97,tiling a ceiling,gb,,20,0,,,,,,,250,,,,
98,repairing a ceiling,gb,,20,0.08,,,,,,,90,,,,
99,plumbing in a bathroom,gb,,20,2,,,,,,,40,,,,
100,fixing a shower,gb,,20,0.7,,,,,,,30,,,,
101,waterproofing a bathroom,gb,,20,,,,,,,,250,,,,
102,repairing a roof,gb,,20,5,,,,,,,60,,,,
103,cleaning a pipe,gb,,20,,,,,,,,300,,,,
104,painting a window,gb,,20,,,,,,,,100,,,,
105,installing a shed,gb,,20,1.7,,,,,,,50,,,,
106,painting a toilet,gb,,20,,,,,,,,200,,,,
107,cleaning a shower,gb,,20,0.7,19,0.76,1.16,,,,400,,,,
108,felting a shed,gb,,20,,,,,,,,20,,,,
109,waterproofing a wall,gb,,20,0.8,,,,,,,150,,,,
110,flashing a window,gb,,10,,,,,,,,150,,,,
111,repairing a gutter,gb,,10,,,,,,,,20,,,,
112,building a window,gb,,10,,,,,,,,40,,,,
113,fixing a driveway,gb,,10,,,,,,,,60,,,,
114,landscaping a pond,gb,,10,,,,,,,,30,,,,
115,painting a driveway,gb,,10,,,,,,,,400,,,,
116,installing a roof,gb,,10,,,,,,,,40,,,,
117,stopping a leak,gb,,10,,,,,,,,10,,,,
118,building a ceiling,gb,,10,,,,,,,,70,,,,
119,draining a swimming pool,gb,,10,,,,,,,,60,,,,
120,sealing a shed,gb,,10,,,,,,,,20,,,,
121,tiling a pitched roof,gb,,10,,,,,,,,10,,,,
122,installing a green roof,gb,,10,,,,,,,,50,,,,
123,cleaning a roof,gb,,10,0.8,,,,,,,100,,,,
124,fixing a leak,gb,,10,,,,,,,,60,,,,
125,sealing a garage,gb,,10,,,,,,,,40,,,,
126,flashing a roof,gb,,10,,,,,,,,250,,,,
127,flashing a door,gb,,10,,,,,,,,60,,,,
128,tiling a patio,gb,,10,,,,,,,,50,,,,
129,fixing a floor,gb,,10,,,,,,,,10,,,,
130,sealing a gutter,gb,,10,,,,,,,,10,,,,
131,waterproofing a swimming pool,gb,,10,,,,,,,,20,,,,
132,fixing a bathroom,gb,,10,,,,,,,,10,,,,
133,installing a floor,gb,,10,,,,,,,,50,,,,
134,repairing a pool,gb,,10,,,,,,,,10,,,,
135,draining a toilet,gb,,10,,,,,,,,70,,,,
136,waterproofing a garage,gb,,10,1.2,,,,,,,100,,,,
137,cleaning a ceiling,gb,,10,,,,,,,,20,,,,
138,sealing a leak,gb,,10,,,,,,,,20,,,,
139,repairing a driveway,gb,,10,,,,,,,,50,,,,
140,cleaning a wall,gb,,10,,,,,,,,60,,,,
141,sealing a pond,gb,,10,0.5,,,,,,,100,,,,
142,sealing a door,gb,,10,,,,,,,,100,,,,
143,installing a wall,gb,,10,,,,,,,,200,,,,
144,tiling a garden,gb,,10,1,,,,,,,10,,,,
145,insulating a door,gb,,10,,,,,,,,60,,,,
146,cleaning a floor,gb,,10,,,,,,,,30,,,,
147,landscaping a driveway,gb,,10,,,,,,,,30,,,,
148,repairing a wall,gb,,10,,,,,,,,60,,,,
149,painting a pond,gb,,10,1.1,,,,,,,10,,,,
150,installing a bathroom,gb,,10,1.5,6,0.74,1.48,,,,150,,,,
151,repairing a shed,gb,,10,,,,,,,,50,,,,
152,fixing a ceiling,gb,,10,,,,,,,,30,,,,
153,waterproofing a wet room,gb,,10,1.5,,,,,,,30,,,,
154,insulating a porch,gb,,10,1.3,,,,,,,30,,,,
155,installing a water feature,gb,,10,,,,,,,,20,,,,
156,draining a pool,gb,,10,,,,,,,,200,,,,
157,tiling a pond,gb,,10,,,,,,,,10,,,,
158,repairing a floor,gb,,10,,,,,,,,10,,,,
159,waterproofing a door,gb,,10,0.5,,,,,,,20,,,,
160,installing a loft,gb,,10,,,,,,,,10,,,,
161,installing a drain,gb,,10,,,,,,,,40,,,,
162,cleaning a gutter,gb,,10,,,,,,,,10,,,,
163,building a floor,gb,,10,,,,,,,,150,,,,
164,fixing a window,gb,,10,1.9,,,,,,,50,,,,
165,sealing a roof vent,gb,,10,,,,,,,,20,,,,
166,installing a pool,gb,,10,,,,,,,,250,,,,
167,waterproofing a pond,gb,,10,,,,,,,,20,,,,
168,cleaning a window,gb,,10,,,,,,,,90,,,,
169,installing a ceiling,gb,,10,,,,,,,,60,,,,
170,installing a driveway,gb,,10,,,,,,,,60,,,,
171,water proofing a shower,gb,,10,,,,,tanking kit,,,30,,,,
172,waterproofing a roof,gb,,10,0.9,,,,,,,40,,,,
173,painting a loft,gb,,10,,,,,,,,10,,,,
174,painting a swimming pool,gb,,10,,,,,,,,60,,,,
175,building a manhole,gb,,10,,,,,,,,40,,,,
176,insulating a window,gb,,10,,,,,,,,60,,,,
177,repairing a shower,gb,,10,,,,,,,,10,,,,
178,repairing a door,gb,,10,,,,,,,,200,,,,
179,fixing a wall,gb,,10,,,,,,,,30,,,,
180,fixing a drain,gb,,10,,,,,,,,10,,,,
181,painting a garage,gb,,10,,,,,best paint for garage walls,,,700,,,,
182,repairing a window,gb,,10,,,,,,,,60,,,,
183,sealing a pipe,gb,,10,,,,,pipe sealant,,,20,,,,
184,sealing a floor,gb,,10,,,,,,,,100,,,,
185,tiling a pool,gb,,10,,,,,,,,150,,,,
186,installing a roof vent,gb,,10,,,,,,,,70,,,,
187,sealing a window,gb,,10,,,,,,,,350,,,,
188,sealing a ceiling,gb,,10,,,,,,,,10,,,,
189,cleaning a drain,gb,,10,,,,,,,,60,,,,
190,sealing a swimming pool,gb,,10,,,,,,,,10,,,,
191,landscaping a patio,gb,,10,,,,,,,,40,,,,
192,cleaning a driveway,gb,,10,,,,,,,,40,,,,
193,cleaning a pool,gb,,10,,,,,,,,200,,,,
194,cleaning a garage,gb,,10,,,,,,,,60,,,,
195,building a pipe,gb,,10,,,,,,,,60,,,,
196,fixing a roof,gb,,10,,,,,,,,50,,,,
197,building a loft,gb,,10,2,,,,,,,250,,,,
198,installing a patio,gb,,10,,,,,,,,40,,,,
199,repairing a toilet,gb,,10,,,,,,,,40,,,,
200,waterproofing a pool,gb,,10,,,,,,,,20,,,,
201,insulating a bathroom,gb,,10,0.9,,,,,,,40,,,,
202,installing a garage,gb,,10,,,,,,,,30,,,,
203,installing a gutter,gb,,10,1.1,,,,,,,60,,,,
204,fixing a pipe,gb,,10,,,,,,,,10,,,,
205,sealing a roof,gb,,10,0.9,,,,,,,100,,,,
206,sealing a wet room,gb,,10,,,,,,,,10,,,,
207,repairing a porch,gb,,10,,,,,,,,10,,,,
208,painting a porch,gb,,10,,,,,,,,150,,,,
209,fixing a door,gb,,10,,,,,,,,200,,,,
210,waterproofing a floor,gb,,10,,,,,,,,40,,,,
211,painting a shower,gb,,10,,,,,,,,100,,,,
212,sealing a toilet,gb,,10,,,,,,,,40,,,,
213,water proofing a bathroom,gb,,10,,,,,,,,30,,,,
214,fixing a gutter,gb,,10,2.5,,,,,,,20,,,,
215,sealing a wall,gb,,10,,,,,,,,60,,,,
216,flashing a flat roof,gb,,10,,,,,,,,20,,,,
217,installing a roof window,gb,,10,,,,,,,,10,,,,
218,cleaning a patio,gb,,10,0.5,16,1.21,1.18,,,,50,72%,3%,0%,25%
219,cleaning a garden,gb,,10,,,,,,,,10,,,,
220,building a green roof,gb,,10,1,,,,,,,100,,,,
221,tiling a porch,gb,,10,,,,,,,,1900,,,,
222,cleaning a swimming pool,gb,,10,,,,,,,,50,,,,
223,building a solar panel,gb,,10,0.45,,,,,,,90,,,,
224,felting a pitched roof,gb,,,,,,,,,,,,,,
225,flashing a pitched roof,gb,,,,,,,,,,,,,,
226,draining a pond,gb,,,,,,,,,,200,,,,
227,landscaping a wall,gb,,,,,,,,,,,,,,
228,wiring in a shower,gb,,,,,,,,,,10,,,,
229,fixing a velux window,gb,,,,,,,,,,,,,,
230,repairing a patio,gb,,,,,,,,,,,,,,
231,sealing a drain,gb,,,,,,,,,,,,,,
232,waterproofing a window,gb,,,,,,,,,,,,,,
233,cleaning a water feature,gb,,,,,,,,,,,,,,
234,landscaping a swimming pool,gb,,,,,,,,,,,,,,
235,cleaning a velux window,gb,,,,,,,,,,,,,,
236,converting a summer house,gb,,,,,,,,,,,,,,
237,fixing a shed,gb,,,,,,,,,,30,,,,
238,plumbing in a conservatory,gb,,,,,,,,,,,,,,
239,repairing a pipe,gb,,,,,,,,,,10,,,,
240,unblocking a pipe,gb,,,,,,,,,,30,,,,
241,tiling a flat roof,gb,,,4,,,,,,,10,,,,
242,installing a solar panel,gb,,,,,,,,,,60,,,,
243,cleaning a conservatory,gb,,,,,,,,,,,,,,
244,building a drain,gb,,,,,,,,,,30,,,,
245,wiring in a solar panel,gb,,,,,,,,,,,,,,
246,flashing a wall,gb,,,,,,,,,,,,,,
247,landscaping a pool,gb,,,,,,,,,,30,,,,
248,flashing a roof vent,gb,,,,,,,,,,,,,,
249,painting a loft conversion,gb,,,,,,,,,,,,,,
250,wiring in a loft,gb,,,,,,,,,,,,,,
251,wiring in a garage,gb,,,,,,,,,,,,,,
252,cleaning a flat roof,gb,0,,,,,,flat roof maintenance,2021-06-08 10:40:16,"Adwords top,Featured snippet,People also ask,Top stories,Videos,Sitelinks,Adwords bottom",,,,,
253,installing a conservatory,gb,,,,,,,,,,,,,,
254,repairing a conservatory,gb,,,,,,,,,,,,,,
255,cleaning a wet room,gb,,,,,,,,,,10,,,,
256,flashing a conservatory,gb,,,,,,,,,,,,,,
257,installing a manhole,gb,,,,,,,,,,,,,,
258,draining a garden,gb,,,,,,,,,,,,,,
259,fixing a garage,gb,,,,,,,,,,10,,,,
260,painting a velux window,gb,,,,,,,,,,,,,,
261,tiling a shed,gb,,,,,,,,,,,,,,
262,waterproofing a conservatory,gb,,,,,,,,,,,,,,
263,painting a garden,gb,,,,,,,,,,,,,,
264,repairing a pond,gb,,,,,,,,,,10,,,,
265,draining a flat roof,gb,,,,,,,,,,10,,,,
