Date,Clicks,Impressions,CTR,Position
2020-02-16,1,12,8.33%,59.83
2020-02-15,1,21,4.76%,72.14
2020-02-14,1,14,7.14%,68.57
2020-02-13,4,19,21.05%,39.89
2020-02-12,1,12,8.33%,49.92
2020-02-11,1,9,11.11%,56.44
2020-02-10,2,28,7.14%,63.75
2020-02-09,0,27,0%,61.81
2020-02-08,1,25,4%,67.52
2020-02-07,0,31,0%,73.77
2020-02-06,1,30,3.33%,75.77
2020-02-05,1,36,2.78%,71.72
2020-02-04,5,46,10.87%,64.48
2020-02-03,0,35,0%,70.17
2020-02-02,0,37,0%,74.73
2020-02-01,2,31,6.45%,69.55
2020-01-31,4,23,17.39%,66.39
2020-01-30,3,25,12%,62.2
2020-01-29,2,25,8%,73.88
2020-01-28,0,25,0%,71.28
2020-01-27,0,20,0%,71.3
2020-01-26,0,21,0%,70.33
2020-01-25,1,30,3.33%,60.57
2020-01-24,2,27,7.41%,65.52
2020-01-23,1,21,4.76%,67.95
2020-01-22,2,32,6.25%,65.69
2020-01-21,2,16,12.5%,59.81
2020-01-20,3,15,20%,61.6
2020-01-19,4,12,33.33%,59.92
2020-01-18,0,11,0%,81.64
2020-01-17,3,10,30%,49.7
2020-01-16,1,6,16.67%,57.17
2020-01-15,2,8,25%,47.12
2020-01-14,2,16,12.5%,52.06
2020-01-13,1,14,7.14%,67.57
2020-01-12,3,21,14.29%,51.62
2020-01-11,3,13,23.08%,57
2020-01-10,2,16,12.5%,62.75
2020-01-09,3,16,18.75%,43.5
2020-01-08,2,23,8.7%,39.17
2020-01-07,1,18,5.56%,55.61
2020-01-06,2,16,12.5%,57.62
2020-01-05,1,16,6.25%,69.12
2020-01-04,3,11,27.27%,47.36
2020-01-03,1,17,5.88%,64.76
2020-01-02,2,13,15.38%,56.46
2020-01-01,1,9,11.11%,51.33
2019-12-31,1,11,9.09%,65.55
2019-12-30,2,17,11.76%,62.12
2019-12-29,0,11,0%,78.09
2019-12-28,1,5,20%,57.2
2019-12-27,2,6,33.33%,57
2019-12-26,0,4,0%,57
2019-12-25,0,7,0%,62.29
2019-12-24,0,7,0%,61.71
2019-12-23,0,3,0%,101.33
2019-12-22,0,5,0%,84
2019-12-21,0,5,0%,54
2019-12-20,0,5,0%,70.2
2019-12-19,0,11,0%,70.36
2019-12-18,0,3,0%,70
2019-12-17,1,12,8.33%,43.17
2019-12-16,1,8,12.5%,54
2019-12-15,0,6,0%,58.67
2019-12-14,3,6,50%,33.67
2019-12-13,2,8,25%,52.88
2019-12-12,2,10,20%,49.8
2019-12-11,0,7,0%,47.29
2019-12-10,1,17,5.88%,38.24
2019-12-09,3,9,33.33%,26
2019-12-08,5,11,45.45%,34.55
2019-12-07,1,10,10%,57.1
2019-12-06,3,16,18.75%,67.94
2019-12-05,2,13,15.38%,54.62
2019-12-04,1,11,9.09%,50.91
2019-12-03,2,12,16.67%,53.42
2019-12-02,0,11,0%,49.91
2019-12-01,2,10,20%,51.8
2019-11-30,2,12,16.67%,43.08
2019-11-29,1,10,10%,50.5
2019-11-28,0,9,0%,63.33
2019-11-27,1,12,8.33%,65.08
2019-11-26,0,12,0%,62.67
2019-11-25,4,11,36.36%,37.82
2019-11-24,2,12,16.67%,49.67
2019-11-23,4,20,20%,48
2019-11-22,4,12,33.33%,38.42
2019-11-21,3,9,33.33%,42.56
2019-11-20,1,17,5.88%,71.59
2019-11-19,0,14,0%,54.79
2019-11-18,1,12,8.33%,73.83
2019-11-17,5,14,35.71%,62.86
2019-11-16,3,11,27.27%,39.36
2019-11-15,1,9,11.11%,27.89
2019-11-14,2,13,15.38%,24.23
2019-11-13,0,12,0%,35.67
2019-11-12,0,23,0%,62.17
2019-11-11,1,11,9.09%,73.55
2019-11-10,0,5,0%,35.4
2019-11-09,4,9,44.44%,48.44
2019-11-08,2,14,14.29%,27.71
2019-11-07,0,6,0%,49.17
2019-11-06,4,17,23.53%,53.82
2019-11-05,3,26,11.54%,49.62
2019-11-04,2,20,10%,57.3
2019-11-03,5,21,23.81%,48.24
2019-11-02,0,25,0%,71.92
2019-11-01,3,17,17.65%,59.71
2019-10-31,1,14,7.14%,60.57
2019-10-30,1,42,2.38%,74.55
2019-10-29,3,41,7.32%,54.07
2019-10-28,2,26,7.69%,65.77
2019-10-27,1,25,4%,54.56
2019-10-26,1,23,4.35%,67
2019-10-25,2,32,6.25%,53.66
2019-10-24,2,34,5.88%,72.53
2019-10-23,2,39,5.13%,49.08
2019-10-22,1,5,20%,53.6
2019-10-21,0,5,0%,76.8
2019-10-20,2,9,22.22%,40.11
2019-10-19,2,11,18.18%,25.73
2019-10-18,0,4,0%,68.5
2019-10-17,2,10,20%,45.1
2019-10-16,1,6,16.67%,38.33
2019-10-15,1,16,6.25%,17
2019-10-14,1,13,7.69%,35.46
2019-10-13,0,4,0%,63.75
2019-10-12,0,4,0%,91.25
2019-10-11,1,8,12.5%,35.38
2019-10-10,1,13,7.69%,50.31
2019-10-09,3,13,23.08%,27.15
2019-10-08,3,9,33.33%,20.44
2019-10-07,4,6,66.67%,13.67
2019-10-06,2,6,33.33%,36
2019-10-05,5,9,55.56%,35.22
2019-10-04,4,9,44.44%,27.78
